hgnc_id	Level2
HGNC:2200	Dysmorphic and congenital abnormality syndromes
HGNC:2217	Dysmorphic and congenital abnormality syndromes
HGNC:2220	Dysmorphic and congenital abnormality syndromes
HGNC:17213	Dysmorphic and congenital abnormality syndromes
HGNC:13723	Dysmorphic and congenital abnormality syndromes
HGNC:2515	Dysmorphic and congenital abnormality syndromes
HGNC:2860	Dysmorphic and congenital abnormality syndromes
HGNC:2867	Dysmorphic and congenital abnormality syndromes
HGNC:2910	Dysmorphic and congenital abnormality syndromes
HGNC:19189	Dysmorphic and congenital abnormality syndromes
HGNC:3084	Dysmorphic and congenital abnormality syndromes
HGNC:3087	Dysmorphic and congenital abnormality syndromes
HGNC:2962	Dysmorphic and congenital abnormality syndromes
HGNC:24595	Dysmorphic and congenital abnormality syndromes
HGNC:3133	Dysmorphic and congenital abnormality syndromes
HGNC:3179	Dysmorphic and congenital abnormality syndromes
HGNC:3226	Dysmorphic and congenital abnormality syndromes
HGNC:30858	Dysmorphic and congenital abnormality syndromes
HGNC:3267	Dysmorphic and congenital abnormality syndromes
HGNC:28526	Dysmorphic and congenital abnormality syndromes
HGNC:29331	Dysmorphic and congenital abnormality syndromes
HGNC:27230	Dysmorphic and congenital abnormality syndromes
HGNC:3519	Dysmorphic and congenital abnormality syndromes
HGNC:22140	Dysmorphic and congenital abnormality syndromes
HGNC:3663	Dysmorphic and congenital abnormality syndromes
HGNC:3688	Dysmorphic and congenital abnormality syndromes
HGNC:3689	Dysmorphic and congenital abnormality syndromes
HGNC:3754	Dysmorphic and congenital abnormality syndromes
HGNC:3755	Dysmorphic and congenital abnormality syndromes
HGNC:3801	Dysmorphic and congenital abnormality syndromes
HGNC:19185	Dysmorphic and congenital abnormality syndromes
HGNC:4274	Dysmorphic and congenital abnormality syndromes
HGNC:4319	Dysmorphic and congenital abnormality syndromes
HGNC:4451	Dysmorphic and congenital abnormality syndromes
HGNC:25839	Dysmorphic and congenital abnormality syndromes
HGNC:13315	Dysmorphic and congenital abnormality syndromes
HGNC:26558	Dysmorphic and congenital abnormality syndromes
HGNC:21219	Dysmorphic and congenital abnormality syndromes
HGNC:29077	Dysmorphic and congenital abnormality syndromes
HGNC:30391	Dysmorphic and congenital abnormality syndromes
HGNC:29262	Dysmorphic and congenital abnormality syndromes
HGNC:26019	Dysmorphic and congenital abnormality syndromes
